serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,match_played
487,Maceiras,Young Boys,Defender,73.7,57,47,3
489,Gnabry,Bayern,Forward,73.6,231,194,8
489,Ikoné,LOSC,Midfielder,73.6,97,75,5
489,Felipe,Atlético,Defender,73.6,195,168,7
492,Rafael Leão,Milan,Forward,73.5,57,42,4
493,Köhn,Salzburg,Goalkeeper,73.4,220,156,8
494,Cristiano,Sheriff,Defender,73.3,159,117,6
494,Trippier,Atlético,Defender,73.3,95,70,3
496,Batshuayi,Beşiktaş,Forward,73.2,88,66,5
497,De Ketelaere,Club Brugge,Forward,73,157,116,6
497,N. Williams,Liverpool,Defender,73,100,76,3
497,Von Ballmoos,Young Boys,Goalkeeper,73,85,59,3
497,Dembélé,Barcelona,Forward,73,57,41,3
501,Džeko,Inter,Forward,72.9,157,116,7
502,M. Olsson,Malmö,Defender,72.8,105,82,6
503,Mukiele,Leipzig,Defender,72.7,196,144,6
504,Asensio,Real Madrid,Forward,72.6,89,75,8
505,Angeliño,Leipzig,Defender,72.4,180,132,5
505,Sierro,Young Boys,Midfielder,72.4,114,86,5
505,Nikolov,Sheriff,Midfielder,72.4,27,24,5
508,Yansané,Sheriff,Forward,72.3,37,31,3
509,Rakip,Malmö,Midfielder,72.2,67,48,6
510,Maignan,Milan,Goalkeeper,72,114,83,3
511,Feddal,Sporting CP,Defender,71.5,259,229,6
511,Sarabia,Sporting CP,Forward,71.5,140,98,8
511,Kolovos,Sheriff,Midfielder,71.5,88,66,6
511,Slimani,Sporting CP,Forward,71.5,23,17,2
515,Casteels,Wolfsburg,Goalkeeper,71.4,182,129,5
516,Lang,Club Brugge,Forward,71.3,214,152,6
517,Bushchan,Dynamo Kyiv,Goalkeeper,71,200,142,5
518,Lefort,Young Boys,Defender,70.7,95,65,3
519,Delaney,Sevilla,Midfielder,70.5,76,61,4
519,Karavaev,Dynamo Kyiv,Defender,70.5,57,44,6
519,Gosens,Atalanta,Midfielder,70.5,56,43,2
519,Leo Jardim,LOSC,Goalkeeper,70.5,37,26,2
523,Clinton Mata,Club Brugge,Defender,70.3,200,144,6
523,De Pena,Dynamo Kyiv,Midfielder,70.3,124,87,6
523,Taremi,Porto,Forward,70.3,108,75,6
526,Ersin Destanoğlu,Beşiktaş,Goalkeeper,70.2,145,101,5
526,Adán,Sporting CP,Goalkeeper,70.2,233,166,7
528,Otávio,Porto,Midfielder,70,197,149,6
528,Zapata,Atalanta,Forward,70,130,92,6
528,Yaremchuk,Benfica,Forward,70,103,71,10
528,Gudmundsson,LOSC,Defender,70,76,53,4
532,Rieder,Young Boys,Midfielder,69.7,98,69,6
533,Di María,Paris,Forward,69.6,154,135,5
534,Diogo Gonçalves,Benfica,Midfielder,69.4,42,35,5
535,Athanasiadis,Sheriff,Goalkeeper,69.2,154,106,5
536,Seiwald,Salzburg,Midfielder,69,258,190,8
536,Ghezzal,Beşiktaş,Midfielder,69,161,113,5
538,Kalulu,Milan,Defender,68.8,79,57,5
538,Van Der Brempt,Club Brugge,Defender,68.8,58,40,5
540,Baku,Wolfsburg,Midfielder,68.7,144,99,6
541,Siebatcheu,Young Boys,Forward,68.3,64,51,6
542,Rulli,Villarreal,Goalkeeper,68.2,489,332,12
543,Necip Uysal,Beşiktaş,Midfielder,68,55,37,3
544,Vitinho,Dynamo Kyiv,Midfielder,67.7,28,21,3
545,Šeško,Salzburg,Forward,67.3,58,40,6
545,Larsson,Malmö,Defender,67.3,86,67,4
547,Sowah,Club Brugge,Forward,67.2,110,77,5
548,Luis Suárez,Atlético,Forward,67,84,57,7
549,Ulmer,Salzburg,Defender,66.9,277,187,8
549,Sučić,Salzburg,Midfielder,66.9,194,153,8
551,Burak Yılmaz,LOSC,Forward,66.6,130,91,7
551,Capaldo,Salzburg,Midfielder,66.6,112,78,7
553,Paulo Otávio,Wolfsburg,Defender,66.3,72,48,4
554,Gerard Moreno,Villarreal,Forward,66.2,163,110,7
555,Günok,Beşiktaş,Goalkeeper,66,38,25,1
556,Dzyuba,Zenit,Forward,65.8,61,39,6
556,Kristensen,Salzburg,Defender,65.8,282,191,8
558,Correa,Atlético,Forward,65.6,139,107,10
558,Vrsaljko,Atlético,Defender,65.6,80,55,5
560,Fernando Costanza,Sheriff,Defender,65.5,136,92,6
561,Pedro Porro,Sporting CP,Defender,65.4,207,135,7
562,Wolf,Dortmund,Midfielder,65.2,66,50,5
563,Kenan Karaman,Beşiktaş,Forward,65,74,56,5
563,Muriel,Atalanta,Forward,65,59,48,5
565,Diogo Costa,Porto,Goalkeeper,64.8,269,173,6
565,Mbabu,Wolfsburg,Defender,64.8,141,96,6
567,Berget,Malmö,Midfielder,64.2,162,104,5
567,Pedro Gonçalves,Sporting CP,Midfielder,64.2,83,54,5
569,Shkurin,Dynamo Kyiv,Forward,64,22,14,2
570,Gerhardt,Wolfsburg,Midfielder,63,61,44,5
571,Vecino,Inter,Midfielder,62.5,40,29,4
572,Chukwueze,Villarreal,Midfielder,62.3,50,37,9
573,Darmian,Inter,Defender,62,57,41,5
573,Pervan,Wolfsburg,Goalkeeper,62,40,25,1
573,Rebić,Milan,Forward,62,21,13,2
576,Pedraza,Villarreal,Midfielder,61.4,195,151,10
577,Diawara,Malmö,Goalkeeper,61.3,66,48,3
577,Elanga,Man. United,Forward,61.3,47,31,3
579,Pizzi,Benfica,Midfielder,61,61,43,6
580,Marcano,Porto,Defender,60.5,53,36,2
581,Adamu,Salzburg,Forward,60.4,59,32,8
582,Nuno Santos,Sporting CP,Forward,60.1,72,49,7
583,Moisander,Malmö,Defender,60,86,77,3
584,Rafa Mir,Sevilla,Forward,58.8,46,29,6
585,Koopmeiners,Atalanta,Midfielder,57.8,135,106,5
586,Milner,Liverpool,Midfielder,57.5,157,116,8
586,Tigges,Dortmund,Forward,57.5,19,9,2
588,Kean,Juventus,Forward,57.2,44,29,6
589,Mata,Man. United,Midfielder,57,55,47,3
590,Tiago Tomás,Sporting CP,Forward,56.8,27,20,5
591,Núñez,Benfica,Forward,56.4,117,67,10
592,Oblak,Atlético,Goalkeeper,55.7,283,158,10
593,Dia,Villarreal,Forward,54.4,46,35,8
594,Lázaro,Benfica,Midfielder,54,47,38,6
594,Martínez,Leipzig,Goalkeeper,54,28,15,1
596,Azmoun,Zenit,Forward,53.6,56,38,5
597,Adeyemi,Salzburg,Forward,53.1,90,49,8
598,Dahlin,Malmö,Goalkeeper,53,98,52,4
599,Yakhshiboev,Sheriff,Forward,52.7,37,22,3
600,Okafor,Salzburg,Midfielder,51,80,51,6
601,Grbić,LOSC,Goalkeeper,50.7,165,85,6
602,Poulsen,Leipzig,Forward,46.8,43,27,4
603,Haaland,Dortmund,Forward,46.7,50,27,3
604,Phillips,Liverpool,Defender,44.5,37,33,2
605,Philipp,Wolfsburg,Forward,44,9,7,2
606,Brobbey,Leipzig,Forward,42.6,23,13,5
607,Traoré,Shakhtar Donetsk,Forward,36.5,22,16,2
608,Verbič,Dynamo Kyiv,Midfielder,35.7,26,18,3
